timestamp,ticker,side,qty,signal_type,z_score,reference_price,limit_price,status,reason,broker,order_id
2026-03-30T17:46:31.293642+00:00,AAPL,BUY,1,mean_reversion,-2.800000,192.500000,192.307500,accepted,,Charles Schwab,sim-limit-0b833fc049f8
2026-03-30T18:00:10.240341+00:00,MSFT,HOLD,1,mean_reversion,-0.553700,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:00:39.075606+00:00,NVDA,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:01:10.476121+00:00,AAPL,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:01:42.364958+00:00,AAPL,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:02:13.792097+00:00,NVDA,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:02:45.533115+00:00,NVDA,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:03:17.378096+00:00,NVDA,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:03:49.135218+00:00,NVDA,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:04:20.623999+00:00,AAPL,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:04:52.293320+00:00,AAPL,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:05:24.048877+00:00,NVDA,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:05:55.745760+00:00,NVDA,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:06:17.380648+00:00,AAPL,BUY,1,mean_reversion,-2.600000,195.250000,195.054800,accepted,,Charles Schwab,sim-limit-87429c3a7757
2026-03-30T18:06:27.502669+00:00,NVDA,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:06:59.438273+00:00,NVDA,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:07:30.834436+00:00,NVDA,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:08:02.495833+00:00,NVDA,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:08:34.342802+00:00,NVDA,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:09:06.925990+00:00,AAPL,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:09:38.407725+00:00,AAPL,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:10:10.199788+00:00,AAPL,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:10:21.061619+00:00,AAPL,HOLD,1,mean_reversion,-0.953600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:10:53.199871+00:00,NVDA,HOLD,1,mean_reversion,-0.978600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:11:24.610298+00:00,NVDA,HOLD,1,mean_reversion,-0.978600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:11:56.402294+00:00,NVDA,HOLD,1,mean_reversion,-0.978600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:12:28.231825+00:00,NVDA,HOLD,1,mean_reversion,-0.978600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:12:43.962551+00:00,NVDA,HOLD,1,mean_reversion,-0.978600,,,rejected,signal is HOLD,Charles Schwab,
2026-03-30T18:13:15.757377+00:00,NVDA,HOLD,1,mean_reversion,-1.201200,,,rejected,signal is HOLD,Charles Schwab,
